"id"	"name"	"class"
1	"Palmyra"	"E53 Place"
2	"Palmyra"	"E36 Visual Item"
3	"Syria"	"E53 Place"
4	"Syria"	"E36 Visual Item"
5	"Roman"	"E4 Period"
6	"Hellenistic"	"E4 Period"
7	"Destruction"	"E7 Activity"
8	"ISIS"	"E39 Actor"
9	"42239"	"E52 Time-Span"
10	"Palmyra"	"E36 Visual Item"
1	"Burnouf"	"E36 Visual Item"
2	"Fouque"	"E36 Visual Item"
3	"Longperrier"	"E36 Visual Item"
4	"Burnouf"	"E21 Person"
5	"Fouque"	"E21 Person"
6	"Longperrier"	"E21 Person"
7	"Burnouff date the eruption"	"E5 Event"
8	"Fouque date the eruption"	"E5 Event"
9	"Longperrier date the eruption"	"E5 Event"
10	"-2000/-1800"	"E52 Time-Span"
11	"-2000/-1500"	"E52 Time-Span"
12	"-1699/-1401"	"E52 Time-Span"
13	"Thera eruption"	"E2 Temporal Entity"
14	"Thera eruption"	"E36 Visual Item"
